"station_id","obsTime","WDSD","TEMP","HUMD","PRESS"
"C0F9A0","00:00","12.0","22.0","0.65","1007.0"
"C0F9A0","12:00","11.0","22.0","0.67","1014.3"
"C0G640","00:00","13.0","28.0","-99.000","-99.000"
"C0G640","12:00","17.0","28.0","0.43","995.1"
"C0X260","00:00","0.0","-99.000","0.53","-99.000"
"C0X260","12:00","19.0","27.0","0.55","-99.000"
"C0R190","00:00","-99.000","-99.000","0.67","1018.5"
"C0R190","12:00","19.0","-99.000","0.69","1017.4"
"C0A880","00:00","-99.000","27.0","-99.000","1013.5"
"C0A880","12:00","-99.000","27.0","-99.000","1001.8"
"C0K280","00:00","0.0","28.1","0.52","939.2"
"C0K280","12:00","21.0","28.1","0.59","1010.7"
